,拼音,解释,例子,用法,谜语,感情,英语,结构,字数,年代,热度,词语解释,出处,正音,辨形,辨析,繁体,组合,歇后语,成语故事
齐心协力,qí xīn xié lì,协力：合力。心往一块想；劲往一处使。,往后咱们齐心协力，一块打反动派！（冯德英《迎春花》第十九章）,联合式；作谓语、定语、状语；含褒义。,拔河,褒义,work hard with one mind,联合式,四字,古代,常用,齐心协力,《周书 崔谦传》：“然后与宇文行台，同心协力，电讨不庭，则桓文之勋，复兴于兹日矣。”,“协”，不能读作“xiē”。,“协”，不能写作“胁”。,齐心协力和“群策群力”；都含有“思想上一致；行动上共同努力”的意思。不同在于：①齐心协力偏重强调“思想认识上的一致”的意思；“群策群力”偏重强调“共同出主意；想办法”的意思。②齐心协力可以用于多人；也可用于两个人；“群策群力”只能用于多人。,齊心協力,,,齐心协力
摇摇欲坠,yáo yáo yù zhuì,摇摇：摇晃；动摇不稳的样子；欲：将要；坠：掉下来。摇摇晃晃；即将掉下来。形容很不稳定；就要掉下来；或比喻就要垮台或崩溃。,战士们靠近边缘向下一看，头晕目眩，觉得眼前的大岩来回晃动，自己的身体摇摇欲坠。（曲波《林海雪原》二七）,偏正式；作谓语、定语、状语；含贬义。,危机,贬义,shaking as if about to fall,偏正式,四字,古代,常用,摇摇欲坠,明 罗贯中《三国演义》第104回：“众视之，见其色昏暗，摇摇欲坠。”,“坠”，不能读作“zuì”。,“摇”，不能写作“谣”、“遥”。,见“岌岌可危”、“风雨飘摇”。,摇摇慾墜,AABC式,,
深入浅出,shēn rù qiǎn chū,指讲话或文章的内容深刻；语言文字却浅显易懂。,这篇文章写得深入浅出，使人爱看、易懂。,联合式；作谓语、定语、状语；含褒义。,暗礁；古文译注,褒义,One's words were simple but profound.,联合式,四字,古代,常用,深入浅出,明 朱之喻《朱舜水集》：“鸿论深入显出，切中事机，据理辩驳，虽有利口，无所复置其喙。”,“出”，不能读作“cū”。,“入”，不能写作“人”。,,深入淺出,,,
万无一失,wàn wú yī shī,指绝对不会出差错。万：形容很多；失：差错。,郑成功安慰她，只要仙霞岭守得住，延平万无一失！（华而实《汉衣冠》二）,主谓式；作谓语、定语、状语；形容有绝对把握。,十百千,中性,perfectly safe,动宾式,四字,古代,常用,万无一失,汉 枚乘《七发》：“孔老览观，孟子持筹而算之，万不失一。”,“失”，不能读作“sī”。,“失”，不能写作“矢”。,万无一失和“十拿九稳”；都有办事有把握的意思。但万无一失偏重指必无所失；“十拿九稳”偏重指必有所得。,萬無一失,,铁壳里放鸡蛋,万无一失
一望无际,yí wàng wú jì,一眼看不到边（际：边）。形容极其辽阔。,蒙古族骑士们像雄鹰一样，翱翔在一望无际的大草原上。,紧缩式；作谓语、定语；形容地域辽阔。,稻浪翻滚接云天,中性,stretch for off into the distance and out of sight,紧缩式,四字,古代,常用,一望无际,宋 秦观《蝶恋花》：“舟泊浔阳城下住，杳霭昏鸦，点点云边树。九派江分从此去，烟浓一望空无际。”,“一”，不能读作“yī”。,“望”，不能写作“忘”。,一望无际与“一马平川”有别：一望无际重于辽阔；不仅适用于土地、田野；也适用于天空、海洋、森林、沙漠等；范围较广；“一马平川”重于“平坦”；只适用于平原；田地。,一朢無際,,望远镜照太平洋,
豁然开朗,huò rán kāi lǎng,豁然：开阔敞亮的样子；开朗：地方开阔；光线充足、明亮。指一下子出现了开阔明亮的境界。也形容一下子明白了某种道理；心情十分舒畅。,宝玉豁然开朗笑道：“很是，很是。（清 曹雪芹《红楼梦》第九十一回）,偏正式；作谓语、宾语、定语；比喻突然领悟了一个道理。,大悟；柳暗花明又一村,中性,be suddenly enlightened,偏正式,四字,古代,常用,豁然开朗,晋 陶潜《桃花源记》：“初极狭，才通人。复行数十步，豁然开朗。”,“豁”，不能读作“hè”。,“豁”，不能写作“忽”；“朗”，不能写作“郎”。,见“恍然大悟”。,豁然開朗,,,豁然开朗
按捺不住,àn nà bù zhù,按捺：抑制；克制。指激动、愤怒等感情无法抑制。,他一听这话，一股无名火直往上窜，无论如何也按捺不住。,补充式；作谓语；表示人的复杂情感控制不住，终于表露出来。,,中性,cannot control one's feeling（to be beside oneself (with)）,补充式,四字,近代,常用,按捺不住,明 冯梦龙《警世通言 白娘子永镇雷峰塔》：“不想遇着许仙……按捺不住，一时冒犯天条。”,“捺”，不能读作“nài”。,“捺”，不能写作“奈”。,,,,,
经验教训,jīng yàn jiào xùn,从多次实践中得到的知识或技能和从错误或挫折中得到的经验。,莫应丰《将军吟》第四章：“我跟他摆我自己的经验教训，他不听。”,作主语、宾语、定语；用于口语等。,,中性,experience and lesson,联合式,四字,当代,常用,经验教训,邓小平《在中央顾问委员会第三次全体会议上的讲话》：“历史经验教训说明，不开放不行。”,,,,經驗教訓,,,
耿耿于怀,gěng gěng yú huái,耿耿；形容有心事。老是放在心里；不能忘怀。形容有无法排遣的心事。,同学之间应团结互助，绝不能因一点小事就耿耿于怀。,偏正式；作谓语、定语；指不能忘怀的事。,,中性,constantly remembering in one's heart,偏正式,四字,古代,常用,耿耿于怀,宋 文天祥《贺前人正》：“心绕贺星，遥指于轸中，拳拳公寿，雪立于门外，耿耿于怀。”,“耿”，不能读作“dí”。,“耿”，不能写作“哽”。,,耿耿于懷,AABC式,,
千奇百怪,qiān qí bǎi guài,许许多多奇特怪异的事物。,海洋里的生物千奇百怪，非常迷人。,联合式；作谓语、定语、宾语；含贬义。,杂技团,贬义,all kinds of strange things（absolutely preposterous）,联合式,四字,古代,常用,千奇百怪,宋 释惟白《续传灯录》：“如人在州县住，或闻或见，千奇百怪，他总将作寻常。”,“百”，不能读作“bài”。,“奇”，不能写作“棋”。,千奇百怪和“五花八门”都可形容“有许多花样和奇怪之处”。但千奇百怪偏重于“奇”和“怪”；指有许多奇怪之处；而“五花八门”一般形容种类繁多；花样多。,千奇百恠,,,
震耳欲聋,zhèn ěr yù lóng,耳朵都要振聋了。形容很大；特别响。,每座茶馆里都人声鼎沸，而超越这个，则是茶堂倌震耳欲聋的吆喝。（沙汀《呼嚎》）,兼语式；作谓语、定语、补语；形容声音很大。,,中性,deafen the ear with its roar,紧缩式,四字,当代,常用,震耳欲聋,沙汀《呼嚎》：“每座茶馆里都人声鼎沸，而超越这个，则是茶堂倌震耳欲聋的吆喝声。”,,“震”，不能写作“振”；“聋”，不能写作“龙”。,震耳欲聋与“响彻云霄”有别：震耳欲聋侧重于形容声音沉闷；“响彻云霄”侧重于形容声音响亮。,震耳慾聾,,,
引人入胜,yǐn rén rù shèng,胜：引人进入佳境。优美的境界。多指山水风景或文艺作品吸引人。,扇画小幅，苏州园林，格局很小，却总是那么引人入胜。秦牧《虾趣》,兼语式；作谓语、定语、状语、宾语；含褒义。,导游；荐之于平原君,褒义,lead one into the interesting part of sth.,连动式,四字,古代,常用,引人入胜,南朝宋 刘义庆《世说新语 任诞》：“王卫军云，酒正自引人着胜地。”,“引”，不能读作“rěn”。,“胜”，不能写作“盛”。,,引人入勝,,导游者领路,
多愁善感,duō chóu shàn gǎn,善：容易；好（hào）；感：伤感。容易发愁、伤感。形容人感情脆弱。,过去，我多愁善感，看什么都没有意思；父母对我不好，引起我对世界上一切都憎恨。（杨沫《青春之歌》第二部第一章）,联合式；作谓语、定语；含贬义。,心有千千结,贬义,always melancholy and moody,联合式,四字,当代,常用,多愁善感,茅盾《幻灭》二：“是同情于这个不相识的少妇呢，还是照例的女性的多愁善感，连她自己也不明白。”,,,,,,林黛玉的性子,
刻不容缓,kè bù róng huǎn,刻：片刻；容：容许；缓：延缓；耽搁。一刻也不容许延缓。形容形势十分紧迫。,胎前产后以及难产各症，不独刻不容缓，并且两命攸关。（清 李汝珍《镜花缘》第四十回）,主谓式；作谓语、定语、状语；形容非常紧迫。,立等图章；不准超过十五分钟,中性,urgent,偏正式,四字,近代,常用,刻不容缓,清 李汝珍《镜花缘》：“胎前产后以及难产各症，不独刻不容缓，并且两命攸关。”,“刻”，不能读作“kē”。,“刻”，不能写作“克”；“缓”，不能写作“援”、“暖”。,刻不容缓和“迫在眉睫”；都形容形势非常紧迫。不同在于：刻不容缓重在不能拖延；也指主观上迫不及待的事情；“迫在眉睫”重在已到眼前；常形容客观上紧急的事。,刻不容緩,,雕花店里失火；蹲在地上等裤子,
来之不易,lái zhī bù yì,易：轻易、容易。形容获得成功或得到财物非常不容易。,考上大学，来之不易，可得要继续努力。,偏正式；作主语、宾语、补语；形容成功来得不容易。,难得,中性,not easily achieved,偏正式,四字,古代,常用,来之不易,明 朱柏庐《治家格言》：“一粥一饭，当思来处不易；半丝半缕，恒念物力维艰。”,“不”，不能读作“bù”。,“易”，不能写作“移”。,,來之不易,,,
得不偿失,dé bù cháng shī,所得到的补偿不了所失去的。形容不上算。,饶鸿生在精养轩虽化了几十块冤枉钱，在后乐园倒明白了一桩古典，不能说得不偿失了。（清 李宝嘉《文明小史》第五十三回）,主谓式；作谓语、宾语、定语；含贬义。,明珠弹雀,贬义,The loss outweighs the gain.,主谓式,四字,古代,常用,得不偿失,宋 陆游《序》：“得不偿失，荣不盖愧。”,“得”，不能读作“děi”；“偿”，不能读作“shǎng”。,,,得不償失,,八五炮打蚊子；捉了虱子跑了牛；偷鸡没成丢把米,得不偿失
喜出望外,xǐ chū wàng wài,望：希望；意料。遇到意外的喜事；心中非常高兴。,这可真叫他喜出望外。（沙汀《催粮》）,主谓式；作谓语、定语、状语；含褒义。,石榴；十六始展眉,褒义,be overjoyed,主谓式,四字,古代,常用,喜出望外,宋 苏轼《与李之仪》：“契阔八年，岂谓复有见日，渐近中原，辱书尤数，喜出望外。”,“出”，不能读作“cū”。,“外”，不能写作“处”。,喜出望外和“喜从天降”；都表示意外的喜悦；但喜出望外强调“意外的高兴”；重在感情；“喜从天降”强调高兴的事突然实现；重在事情。,喜出朢外,,新婚夜开窗户；剖鱼得珠,
直截了当,zhí jié liǎo dàng,了当：干脆；爽快。干脆爽快；不绕弯子。,他说话、办事直截了当，认真干脆。,联合式；作状语、定语；含褒义。,干脆抵押,褒义,come straight to the point,联合式,四字,近代,常用,直截了当,清 李汝珍《镜花缘》：“紫芝妹妹嘴虽利害，好在心口如一，直截了当，倒是一个极爽快的。”,“了”，不能读作“le”；“当”，不能读作“dāng”。,“截”，不能写作“接”。,见“开门见山”、“斩钉截铁”。,直巀了當,,,
